package0,package1,package2,package3,package4,algorithm0,algorithm1,algorithm2,algorithm3,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4039,88234,2,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.023774871875
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4039,88234,2,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.00415351359197
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4039,88234,4,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.0002625
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4039,88234,4,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.00416214387909
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4039,88234,4,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.000424875
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4039,88234,4,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.0040325
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4039,88234,4,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.03066300625
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4039,88234,4,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.02149825
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4039,88234,4,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.0875
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4039,88234,4,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.002128125
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4039,88234,4,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.00415168113727
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4039,88234,4,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.0004951875
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4039,88234,4,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.0375
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4039,88234,8,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.000315625
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4039,88234,8,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.00440581385364
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4039,88234,8,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.0004633125
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4039,88234,8,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.00472625
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4039,88234,8,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.0365931875
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4039,88234,8,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.014623625
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4039,88234,8,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4039,88234,8,1.000,1.000,1.000,1.000,0.6055,1612010.0,0.2647,8.0,4.7,0.003196875
