,dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
55,parsed-facebook_combined-16.csv,GraphBIG,BFS,4039,88234,16,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00421088867575758
56,parsed-facebook_combined-16.csv,GraphMat,BFS,4039,88234,16,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00055775
57,parsed-facebook_combined-16.csv,GAP,PageRank,4039,88234,16,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.005894375
58,parsed-facebook_combined-16.csv,GraphBIG,PageRank,4039,88234,16,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.040361153125
59,parsed-facebook_combined-16.csv,GraphMat,PageRank,4039,88234,16,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0152445625
60,parsed-facebook_combined-16.csv,PowerGraph,PageRank,4039,88234,16,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0875
61,parsed-facebook_combined-16.csv,GAP,SSSP,4039,88234,16,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.005983125
62,parsed-facebook_combined-16.csv,GraphBIG,SSSP,4039,88234,16,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00410358634545455
63,parsed-facebook_combined-16.csv,GraphMat,SSSP,4039,88234,16,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0006016875
64,parsed-facebook_combined-16.csv,PowerGraph,SSSP,4039,88234,16,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0875
65,parsed-facebook_combined-24.csv,GAP,BFS,4039,88234,24,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00068375
66,parsed-facebook_combined-24.csv,GraphBIG,BFS,4039,88234,24,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.0041694151969697
67,parsed-facebook_combined-24.csv,GraphMat,BFS,4039,88234,24,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.000724125
68,parsed-facebook_combined-24.csv,GAP,PageRank,4039,88234,24,4039 (1.000),88234 (1.000),4039 (1.000),88234 (1.000),0.6055,1612010,0.2647,8,4.7,0.00564375
