package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.04711
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.2498
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,41.79711923
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.57242
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.03825
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.3862
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.46630385
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.63032
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.04602
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.3378
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,41.97653846
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.57916
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.04452
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,119.839
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,43.52120769
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,47.09712
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.04763
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,120.9068
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.47777308
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,45.7077
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.08039
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,119.0406
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.5261
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.72738
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.12214
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,120.217
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,43.36765
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,47.00336
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.61589
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,121.7474
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,42.33934
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,47.0173
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.08054
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,116.8118
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,45.25498
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.0565
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.09321
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.598
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,44.57234
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.76536
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.07313
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,119.2874
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,43.58543
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,45.97724
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.11072
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,118.7736
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,44.02934
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,46.17018
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.10661
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,117.3896
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,43.02405
PowerGraph,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,45.77962
GAP,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,14.11025
GraphBIG,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,118.8246
GraphMat,TC,1048576,16777216,1,645269,15699496,645269,15699496,0.0957,423625371,0.01322,7,3.6,43.40009
