dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
parsed-cit-Patents-40.csv,GraphMat,SSSP,3774768,16518948,40,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.262274
parsed-cit-Patents-40.csv,PowerGraph,SSSP,3774768,16518948,40,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.768749813
parsed-cit-Patents-48.csv,GAP,SSSP,3774768,16518948,48,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.09256875
parsed-cit-Patents-48.csv,GraphBIG,SSSP,3774768,16518948,48,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.001746863
parsed-cit-Patents-48.csv,GraphMat,SSSP,3774768,16518948,48,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.3619615
parsed-cit-Patents-48.csv,PowerGraph,SSSP,3774768,16518948,48,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.731249938
parsed-cit-Patents-56.csv,GAP,SSSP,3774768,16518948,56,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.10973625
parsed-cit-Patents-56.csv,GraphBIG,SSSP,3774768,16518948,56,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.001925854
parsed-cit-Patents-56.csv,GraphMat,SSSP,3774768,16518948,56,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.462378313
parsed-cit-Patents-56.csv,PowerGraph,SSSP,3774768,16518948,56,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.724999813
parsed-web-BerkStan-1.csv,GAP,SSSP,685230,7600595,1,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.036961875
parsed-web-BerkStan-1.csv,GraphBIG,SSSP,685230,7600595,1,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,6.41E-07
parsed-web-BerkStan-1.csv,GraphMat,SSSP,685230,7600595,1,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.210733938
parsed-web-BerkStan-1.csv,PowerGraph,SSSP,685230,7600595,1,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.475
parsed-web-BerkStan-2.csv,GAP,SSSP,685230,7600595,2,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.049894375
parsed-web-BerkStan-2.csv,GraphBIG,SSSP,685230,7600595,2,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.000512779
parsed-web-BerkStan-2.csv,GraphMat,SSSP,685230,7600595,2,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.130733625
