package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
GraphMat,BFS,685230,7600595,8,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.058754563
GAP,BFS,685230,7600595,16,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.007366875
GraphBIG,BFS,685230,7600595,16,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,3.50E-05
GraphMat,BFS,685230,7600595,16,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.0480485
GAP,BFS,685230,7600595,24,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.00800125
GraphBIG,BFS,685230,7600595,24,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,4.64E-05
GraphMat,BFS,685230,7600595,24,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.04407025
GAP,BFS,685230,7600595,32,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.020565
GraphBIG,BFS,685230,7600595,32,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.000250086
GraphMat,BFS,685230,7600595,32,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.053441063
GAP,BFS,685230,7600595,40,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.02428625
GraphBIG,BFS,685230,7600595,40,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.000320405
GraphMat,BFS,685230,7600595,40,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.082189375
GAP,BFS,685230,7600595,48,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.027806875
GraphBIG,BFS,685230,7600595,48,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.000375047
GraphMat,BFS,685230,7600595,48,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.078448813
GAP,BFS,685230,7600595,56,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.03290375
GraphBIG,BFS,685230,7600595,56,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.000492901
GraphMat,BFS,685230,7600595,56,654782,7499425,334857,4523232,0.5967,64690980,0.002746,514,9.9,0.108269563
GAP,BFS,382219,15038083,1,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.01459375
GraphBIG,BFS,382219,15038083,1,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,4.77E-07
GraphMat,BFS,382219,15038083,1,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.120804875
GAP,BFS,382219,15038083,2,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.00990875
GraphBIG,BFS,382219,15038083,2,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,1.37E-05
GraphMat,BFS,382219,15038083,2,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.066205
GAP,BFS,382219,15038083,4,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.0059625
GraphBIG,BFS,382219,15038083,4,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,1.49E-05
GraphMat,BFS,382219,15038083,4,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.03511675
GAP,BFS,382219,15038083,8,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.00398875
GraphBIG,BFS,382219,15038083,8,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,2.37E-05
GraphMat,BFS,382219,15038083,8,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.029999938
GAP,BFS,382219,15038083,16,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.003475
GraphBIG,BFS,382219,15038083,16,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.000039354
GraphMat,BFS,382219,15038083,16,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.01544525
GAP,BFS,382219,15038083,24,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.003495625
GraphBIG,BFS,382219,15038083,24,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,5.41E-05
GraphMat,BFS,382219,15038083,24,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.013373063
GAP,BFS,382219,15038083,32,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.0044475
GraphBIG,BFS,382219,15038083,32,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.000244782
GraphMat,BFS,382219,15038083,32,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.042582063
GAP,BFS,382219,15038083,40,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.004894375
GraphBIG,BFS,382219,15038083,40,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.000298411
GraphMat,BFS,382219,15038083,40,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.06125775
GAP,BFS,382219,15038083,48,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.00528375
GraphBIG,BFS,382219,15038083,48,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.000354469
GraphMat,BFS,382219,15038083,48,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.080481313
GAP,BFS,382219,15038083,56,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.00575375
GraphBIG,BFS,382219,15038083,56,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.000433013
GraphMat,BFS,382219,15038083,56,374511,15014839,374511,15014839,0.78,346813199,0.06224,12,4.2,0.110477375
GraphBIG,BFS,23132,511764,1,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.039049693
GraphMat,BFS,23132,511764,1,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.002662938
GraphBIG,BFS,23132,511764,2,nan,NA,NA,NA,NA,NA,NA,NA,NA,1.32E-05
GraphMat,BFS,23132,511764,2,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.002268688
GraphBIG,BFS,23132,511764,4,nan,NA,NA,NA,NA,NA,NA,NA,NA,1.71E-05
GraphMat,BFS,23132,511764,4,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.0016745
GraphBIG,BFS,23132,511764,8,nan,NA,NA,NA,NA,NA,NA,NA,NA,2.47E-05
GraphMat,BFS,23132,511764,8,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.001362688
GraphBIG,BFS,23132,511764,16,nan,NA,NA,NA,NA,NA,NA,NA,NA,3.80E-05
GraphMat,BFS,23132,511764,16,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.001278875
GraphBIG,BFS,23132,511764,24,nan,NA,NA,NA,NA,NA,NA,NA,NA,5.00E-05
GraphMat,BFS,23132,511764,24,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.001010688
GraphBIG,BFS,23132,511764,32,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000260055
GraphMat,BFS,23132,511764,32,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.001323563
GraphBIG,BFS,23132,511764,40,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000315964
GraphMat,BFS,23132,511764,40,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.003856313
GraphBIG,BFS,23132,511764,48,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000359565
GraphMat,BFS,23132,511764,48,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.0047905
GraphBIG,BFS,23132,511764,56,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000441894
GraphMat,BFS,23132,511764,56,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.02320025
GAP,BFS,2239,6452,1,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000086875
GraphBIG,BFS,2239,6452,1,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000706712
GraphMat,BFS,2239,6452,1,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.000197688
GAP,BFS,2239,6452,2,nan,NA,NA,NA,NA,NA,NA,NA,NA,0.00016875
GraphBIG,BFS,2239,6452,2,nan,NA,NA,NA,NA,NA,NA,NA,NA,1.11E-05
