package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
GraphMat,SSSP,3774768,16518948,56,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.462378313
PowerGraph,SSSP,3774768,16518948,56,0.997,1,0,0,0.0757,7515023,0.02343,22,9.4,0.724999813
GAP,SSSP,685230,7600595,1,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.036961875
GraphBIG,SSSP,685230,7600595,1,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,6.41E-07
GraphMat,SSSP,685230,7600595,1,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.210733938
PowerGraph,SSSP,685230,7600595,1,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.475
GAP,SSSP,685230,7600595,2,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.049894375
GraphBIG,SSSP,685230,7600595,2,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.000512779
GraphMat,SSSP,685230,7600595,2,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.130733625
PowerGraph,SSSP,685230,7600595,2,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.475
GAP,SSSP,685230,7600595,4,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.04679875
GraphBIG,SSSP,685230,7600595,4,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.000523284
GraphMat,SSSP,685230,7600595,4,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.079641563
PowerGraph,SSSP,685230,7600595,4,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.4875
GAP,SSSP,685230,7600595,8,0.956,0.987,0.489,0.595,0.5967,64690980,0.002746,514,9.9,0.062801875
