Unnamed: 0,dataset,package,algorithm,nvertices,nedges,nthreads,Nodes.in.largest.WCC,Edges.in.largest.WCC,Nodes.in.largest.SCC,Edges.in.largest.SCC,Average.clustering.coefficient,Number.of.triangles,Fraction.of.closed.triangles,Diameter..longest.shortest.path.,X90.percentile.effective.diameter,runtime
255,parsed-web-BerkStan-4.csv,GAP,PageRank,685230,7600595,4,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.29252625
256,parsed-web-BerkStan-4.csv,GraphBIG,PageRank,685230,7600595,4,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,3.582555625
257,parsed-web-BerkStan-4.csv,GraphMat,PageRank,685230,7600595,4,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,1.23606625
258,parsed-web-BerkStan-4.csv,PowerGraph,PageRank,685230,7600595,4,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,23.50625
266,parsed-web-BerkStan-8.csv,GAP,PageRank,685230,7600595,8,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.159711875
267,parsed-web-BerkStan-8.csv,GraphBIG,PageRank,685230,7600595,8,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,3.112103125
268,parsed-web-BerkStan-8.csv,GraphMat,PageRank,685230,7600595,8,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.69946425
269,parsed-web-BerkStan-8.csv,PowerGraph,PageRank,685230,7600595,8,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,15.80625
277,parsed-web-BerkStan-16.csv,GAP,PageRank,685230,7600595,16,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.08843625
278,parsed-web-BerkStan-16.csv,GraphBIG,PageRank,685230,7600595,16,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,2.59440875
279,parsed-web-BerkStan-16.csv,GraphMat,PageRank,685230,7600595,16,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.454592875
280,parsed-web-BerkStan-16.csv,PowerGraph,PageRank,685230,7600595,16,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,13.2
288,parsed-web-BerkStan-24.csv,GAP,PageRank,685230,7600595,24,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.073825
289,parsed-web-BerkStan-24.csv,GraphBIG,PageRank,685230,7600595,24,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,2.612239375
290,parsed-web-BerkStan-24.csv,GraphMat,PageRank,685230,7600595,24,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.373336375
291,parsed-web-BerkStan-24.csv,PowerGraph,PageRank,685230,7600595,24,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,12.8625
299,parsed-web-BerkStan-32.csv,GAP,PageRank,685230,7600595,32,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,0.077234375
300,parsed-web-BerkStan-32.csv,GraphBIG,PageRank,685230,7600595,32,0.956,0.987,0.489,0.595,0.5967,64690980.0,0.002746,514.0,9.9,2.488183125
