algorithm,execution_phase,scale,edges_per_vertex,RMAT_type,insertion_percent,changed_vertices,threads,measurement,value
CC,insertion,24,8,G,75,1000000,16,Time (s),0.149922
CC,insertion,24,8,G,75,1000000,16,Time (s),0.155782
CC,deletion,24,8,G,75,1000000,16,Time (s),1.516160
CC,deletion,24,8,G,75,1000000,16,Time (s),1.413861
CC,deletion,24,8,G,75,1000000,16,Time (s),1.494899
CC,deletion,24,8,G,75,1000000,16,Time (s),0.981965
CC,deletion,24,8,G,75,1000000,16,Time (s),1.470836
CC,deletion,24,8,G,75,1000000,16,Time (s),1.443454
CC,deletion,24,8,G,75,1000000,16,Time (s),1.032673
CC,deletion,24,8,G,75,1000000,16,Time (s),1.477700
CC,All,24,8,G,75,1000000,16,Time (s),3.153226
CC,All,24,8,G,75,1000000,16,Time (s),3.097741
CC,All,24,8,G,75,1000000,16,Time (s),3.103183
CC,All,24,8,G,75,1000000,16,Time (s),3.000295
CC,All,24,8,G,75,1000000,16,Time (s),3.129058
CC,All,24,8,G,75,1000000,16,Time (s),3.065674
CC,All,24,8,G,75,1000000,16,Time (s),2.652872
CC,All,24,8,G,75,1000000,16,Time (s),3.200901
Galois,All,24,8,ER,75,1000000,32,Time (s),0.43
Galois,All,24,8,ER,75,1000000,32,Time (s),0.44
Galois,All,24,8,ER,75,1000000,32,Time (s),0.46
Galois,All,24,8,ER,75,1000000,32,Time (s),0.467
Galois,All,24,8,ER,75,1000000,32,Time (s),0.456
Galois,All,24,8,ER,75,1000000,32,Time (s),0.455
Galois,All,24,8,ER,75,1000000,32,Time (s),0.442
Galois,All,24,8,ER,75,1000000,32,Time (s),0.451
Galois,All,24,8,G,75,1000000,32,Time (s),1.241
Galois,All,24,8,G,75,1000000,32,Time (s),1.295
Galois,All,24,8,G,75,1000000,32,Time (s),1.109
Galois,All,24,8,G,75,1000000,32,Time (s),1.208
Galois,All,24,8,G,75,1000000,32,Time (s),1.28
Galois,All,24,8,G,75,1000000,32,Time (s),1.286
Galois,All,24,8,G,75,1000000,32,Time (s),1.167
Galois,All,24,8,G,75,1000000,32,Time (s),1.217
CC,insertion,24,8,G,75,1000000,32,Time (s),0.221207
CC,insertion,24,8,G,75,1000000,32,Time (s),0.156718
CC,insertion,24,8,G,75,1000000,32,Time (s),0.240541
CC,insertion,24,8,G,75,1000000,32,Time (s),0.221674
CC,insertion,24,8,G,75,1000000,32,Time (s),0.215729
CC,insertion,24,8,G,75,1000000,32,Time (s),0.203926
CC,insertion,24,8,G,75,1000000,32,Time (s),0.211852
CC,insertion,24,8,G,75,1000000,32,Time (s),0.148264
CC,deletion,24,8,G,75,1000000,32,Time (s),1.606148
CC,deletion,24,8,G,75,1000000,32,Time (s),0.871916
CC,deletion,24,8,G,75,1000000,32,Time (s),1.060596
CC,deletion,24,8,G,75,1000000,32,Time (s),1.598612
CC,deletion,24,8,G,75,1000000,32,Time (s),1.431824
CC,deletion,24,8,G,75,1000000,32,Time (s),0.950589
CC,deletion,24,8,G,75,1000000,32,Time (s),1.715290
CC,deletion,24,8,G,75,1000000,32,Time (s),0.903450
